游戏;玩偶;玩偶;手指伸进去表演的木偶，套在手指上表演的手套木偶;	轻工业、手工业;工艺美术制品工业;民间工艺美术制品;木偶制作;	建筑科学;建筑设计;工业建筑;构筑物;塔形、柱形等构筑物;烟囱;
电学;电通信技术;无线通信网络;安全装置;保密或匿名;保密或匿名;	电信技术;通信;通信保密与通信安全;保密通信:按传输线路分;无线保密通信;	航空发动机制造;装配;装配工夹具;
电学;电通信技术;无线通信网络;安全装置，例如接入安全或欺诈检测;	无线电电子学、电信技术;通信;通信保密与通信安全;通信安全技术;	食品工业;制糖工业;各种糖的生产;麦芽糖;
电学;基本电子电路;放大的控制;放大器或变频器的增益控制;	无线电电子学、电信技术;基本电子电路;放大技术、放大器;放大器;	能源与动力工程;蒸汽动力工程;蒸汽锅炉;锅炉构造;构件;
电学;发电、变电或配电;电缆或电线的安装;电缆配件;	电工材料;导电材料及其制品;电气装备用电线电缆;通用电线电缆;	航空设备、飞行控制与导航;防护设备及其技术;防护设备;防撞击设备;
电学;电缆;按形状区分的电缆;海底电缆;	海洋学;海洋工程;海下工程;水下电缆;	数理科学和化学;化学;分析化学;仪器分析法（物理及物理化学分析法）;超声波分析法;
电学;发电、变电或配电;电机;永磁式的;	电工技术;电机;特殊电机;永磁电机;	无线电电子学;电视;电视光学;摄像光学系统;分光棱镜;
基本电气元件;继电器;应用电动力效应的继电器;永磁式继电器;	工业技术;电工技术;电器;继电器;电继电器;电磁继电器;	纺织工业、染整工业;毛纺织;原毛初加工;羊毛脂回收;
电学;基本电气元件;白炽灯;非一般照明用灯;用于探照灯的;	电工技术;电气化、电能应用;电气照明;照明器;探照灯;	工业技术;机械、仪表工业;仪器、仪表;坐标器、计算机具、计数器;计数器;
电学;基本电气元件;白炽灯;非一般照明用灯;用于指示的;	电工技术;电气化、电能应用;电气照明;照明器;指示灯;	轻工业、手工业;造纸工业;机械与设备;制浆机械;蒸煮设备;
电学;基本电子电路;阻抗网络，谐振器;N通道滤波器;	无线电电子学;基本电子电路;滤波技术、滤波器;谐振体;	公路运输;汽车工程;汽车结构部件;电气设备及附件;点火系统;火花塞;
电学;基本电气元件;半导体器件;专门适用于制造或处理这些半导体器件或其部件的方法或设备;	无线电电子学、电信技术;半导体技术;一般性问题;半导体器件制造工艺及设备;表面处理;	生物科学;生物化学;糖;二糖;蔗糖;
电学;电通信技术;无线通信网络;无线通信网络的设备;终端设备;	无线电电子学、电信技术;无线电设备、电信设备;终端设备;	轻工业、手工业;烟草工业;烟草加工工艺及制品;卷烟制造;切丝、烘丝;
电学;基本电气元件;谐振器;波导型谐振器;空腔谐振器;	无线电电子学;电子元件、组件;微波传输控制元件;空腔谐振器;	无线电电子学、电信技术;真空电子技术;气体放电器件;冷阴极气体放电管;
电学;基本电气元件;谐振器;波导型谐振器;空腔谐振器;	无线电设备、电信设备;传输线和波导;空腔谐振器、谐振腔;	机械、仪表工业;机械零件及传动装置;转动机件;联轴器;
电学;发电、变电或配电;变电站或开关装置;封闭式变电站，例如紧凑型变电站;	电工技术;变压器、变流器;电力变压器;油浸式电力变压器;成套变电站用变压器;	机械、仪表工业;机械零件及传动装置;转动机件;联轴器、离合器;
发电、变电或配电;电机;带有磁体、电枢或其他磁路部分的发电机;	电工技术;电机;发电机、大型发电机组（总论）;永磁发电机;	金属压力加工;锻造、锻压;锻造用机械与设备;锻炉及工具;锻炉;
电学;基本电子电路;放大的控制;限幅;限制幅度的变化率;限制幅度的变化率;	无线电电子学、电信技术;基本电子电路;脉冲变换、脉冲变换电路;脉冲限幅;	金属学与金属工艺;焊接、金属切割;焊接工艺;金属材料的焊接;铝;
发电、变电或配电;电缆或电线的安装;母线的安装;	电气化铁路;牵引变电所、变电设备;变电所一次设备;母线;	冶金工业;炼铁;高炉操作;开炉、配料;开炉、装料;
电学;基本电气元件;电感;信号类型的固定电感器;	电工技术;电器;电感器、线圈、扼流圈;固定电感线圈;	化学工业;化学纤维工业;无机纤维;玻璃纤维;
电学;基本电气元件;放电管或放电灯;有气体阴极的充气放电管，如等离子阴极;	无线电电子学、电信技术;真空电子技术;气体放电器件;冷阴极气体放电管;	电气化、电能应用;家用电器及其他电器设备;其他电器;家用报警器;
基本电气元件;天线;波导型喇叭或开口;漏波导天线;沿着导引波传输的途径辐射的等效结构;	无线电电子学、电信技术;电子元件、组件;微波传输控制元件;波导定向耦合器;	金属学与金属工艺;焊接、金属切割;焊接工艺;;金属材料的焊接;铸铁;
基本电气元件;天线;波导型喇叭或开口;漏波导天线;沿着导引波传输的途径辐射的等效结构;	无线电电子学、电信技术;传输线和波导;波导、波导管、波导传输线;	化学;分析化学;元素及化合物的分离方法;物相分析;超离心机法;
紧急保护装置;过电流动作并需单独复位动作的过负荷保护断路开关;	交通运输;铁路运输;机车工程;电力机车;保护装置;过负荷保护;	造纸工业;制浆工艺;各种纸浆;蔗渣浆;
电学;电通信技术;图像通信，如电视;静止视频摄像机;	无线电电子学、电信技术;电视;电视设备;电视节目制作设备;摄像机;	轻工业、手工业;纺织工业、染整工业;一般性问题;混纺织物;普通织物;
电学;基本电子电路;脉冲技术;基本上有有限斜率或阶梯的脉冲的产生;	无线电电子学;基本电子电路;脉冲技术、脉冲电路;脉冲的产生、脉冲发生器;	工业技术;金属学与金属工艺;焊接、金属切割及金属粘接;焊接工艺;堆焊及补焊;
电学;基本电气元件;利用除光之外的波范围内的电磁辐射的受激发射器件;半导体激光器;	无线电电子学;光电子技术、激光技术;激光技术、微波激射技术;激光器;半导体激光器;	工业技术;电工技术;电器;继电器;电继电器;电磁继电器;
电学;基本电气元件;半导体器件;不具有不同材料结点的热电器件;热磁器件;	无线电电子学、电信技术;半导体技术;半导体热电器件、热敏电阻;敏感器件;	无线电电子学;基本电子电路;振荡技术、振荡器;振荡器;
基本电气元件;电开关;继电器;无灭弧或防弧装置的高压空气断路器;	电工技术;电器;开关电器、断路器;断路器;空气断路器、压缩空气断路器;	化学工业;染料及中间体工业;各种性能的合成染料;碱性染料;
基本电气元件;绝缘体;导电、绝缘或介电材料的选择;绝缘子或绝缘物体;	电工技术;电工材料;绝缘材料、电介质及其制品;绝缘子和套管;	轻工业、手工业;制鞋工业;制鞋工业;制鞋机具与设备;其他;
电通信技术;扬声器、传声器、唱机拾音器或其他声机电传感器;立体声装置;	无线电电子学、电信技术;电子元件、组件;电声器件;扬声器;立体声扬声器;	其他轻工业、手工业;乐器制造工业;中国民族乐器;打击乐器;
基本电气元件;电开关;由物理状态的变化操作的开关;	电工技术;发电、发电厂;配电设备和电气接线;开关设备;	武器工业;弹药、引信;火工品;引信雷管;电雷管;
基本电子电路;放大器;只带有电子管或只带有半导体器件作为放大元件的放大器;	无线电电子学、电信技术;基本电子电路;放大技术、放大器;放大器;	汽车工程;汽车结构部件;电气设备及附件;照明与信号系统;停刹车信号装置;
基本电气元件;电开关;电流通过其可熔材料的部分，电流过大时，由可熔材料的熔断使电流中断的保护装置;	电工技术;电器;开关电器、断路器;熔断器、保险丝装置;限流熔断器;	纺织工业;混纺织物;纱线;纱或线;
基本电气元件;放电管或放电灯;放电管或灯的零部件;	真空电子技术;气体放电器件、离子管;脉冲放电管;火花放电管;	轻工业、手工业;纺织工业、染整工业;一般性问题;混纺织物;普通织物;
基本电气元件;电阻器;不可调电阻器;	电工技术;电器;电阻器、电位器;固定电阻器;	航空;基础理论及试验;空气动力学;飞机空气动力学;涵道风扇空气动力学;
发电、变电或配电;配电盘、变电站或开关装置;熔断器、电阻器或类似装置的设备;	电工技术;电器;开关电器、断路器;熔断器、保险丝装置;	机械、仪表工业;起重机械与运输机械;起重机械;简易起重机械;升降机、升降台;
发电、变电或配电;配电盘、变电站或开关装置;熔断器、电阻器或类似装置的设备;	电工技术;电器;开关电器、断路器;熔断器、保险丝装置;限流熔断器;	电气化、电能应用;家用电器及其他电器设备;其他电器;家用报警器;
基本电气元件;谐振器、传输线或其他波导型器件;专用于制造波导或谐振器;	无线电电子学、电信技术;电子元件、组件;微波传输控制元件;空腔谐振器;	轻工业、手工业;造纸工业;制浆工艺;各种纸浆;木浆;
电学;基本电气元件;放电管或放电灯;气体或蒸气放电灯;	电工技术;电气化、电能应用;电气照明;灯泡、灯管;气体放电灯;	化学工业;农药工业;杀菌剂;抗菌素;
电学;基本电气元件;白炽灯;一般照明用灯;	电气化、电能应用;电气照明;灯泡、灯管;白热灯泡、白炽灯;	冶金工业;炼钢;转炉炼钢;熔炼过程及操作;造渣;
电学;基本电气元件;放电管或放电灯;X射线管;X射线管;	无线电电子学、电信技术;真空电子技术;X射线管、阴极射线管;	数理科学和化学;化学;分析化学;仪器分析法（物理及物理化学分析法）;超声波分析法;
基本电气元件;导体;导电或介电材料的选择;超导或高导导体;	工业技术;电工技术;电工材料;超导体、超导体材料;	医药、卫生;外科学;外科手术学;绷带学;
电学;电机;传送或接收角位移的电机，例如自整角机;	电工技术;电机;微电机;控制用微电机;自整角机;	耳科学、耳疾病;病理听力学及助听器;
电学;基本电气元件;磁体;电感;线圈;	电器;电感器、线圈、扼流圈;磁芯电感线圈;	航空;基础理论及试验;空气动力学;飞机空气动力学;涵道风扇空气动力学;
电学;基本电子电路;脉冲技术;调制类型的转换，例如位置调制脉冲变为持续时间调制脉冲;	无线电电子学、电信技术;基本电子电路;脉冲技术、脉冲电路;脉冲调制、解调，脉冲调制器;	电声技术和语音信号处理;语音信号处理;语音合成;
电学;基本电子电路;脉冲技术;逻辑电路;	计算机技术;电子数字计算机;基本电路;逻辑电路;	工业技术;化学工业;合成树脂与塑料工业;聚合类树脂及塑料;聚醚类;聚硫醚;
